t,flux
0.00000,0.99273
0.01001,1.00000
0.02001,1.00000
0.03002,1.00000
0.04002,1.00000
0.05003,1.00000
0.06003,1.00000
0.07004,1.00000
0.08004,1.00000
0.09005,1.00000
0.10005,1.00000
0.11006,1.00000
0.12006,1.00000
0.13007,1.00000
0.14007,1.00000
0.15008,1.00000
0.16008,1.00000
0.17009,1.00000
0.18009,1.00000
0.19010,1.00000
0.20010,1.00000
0.21011,1.00000
0.22011,1.00000
0.23012,1.00000
0.24012,1.00000
0.25013,1.00000
0.26013,1.00000
0.27014,1.00000
0.28014,1.00000
0.29015,1.00000
0.30015,1.00000
0.31016,1.00000
0.32016,1.00000
0.33017,1.00000
0.34017,1.00000
0.35018,1.00000
0.36018,1.00000
0.37019,1.00000
0.38019,1.00000
0.39020,1.00000
0.40020,1.00000
0.41021,1.00000
0.42021,1.00000
0.43022,1.00000
0.44022,1.00000
0.45023,1.00000
0.46023,1.00000
0.47024,1.00000
0.48024,1.00000
0.49025,1.00000
0.50025,1.00000
0.51026,1.00000
0.52026,1.00000
0.53027,1.00000
0.54027,1.00000
0.55028,1.00000
0.56028,1.00000
0.57029,1.00000
0.58029,1.00000
0.59030,1.00000
0.60030,1.00000
0.61031,1.00000
0.62031,1.00000
0.63032,1.00000
0.64032,1.00000
0.65033,1.00000
0.66033,1.00000
0.67034,1.00000
0.68034,1.00000
0.69035,1.00000
0.70035,1.00000
0.71036,1.00000
0.72036,1.00000
0.73037,1.00000
0.74037,1.00000
0.75038,1.00000
0.76038,1.00000
0.77039,1.00000
0.78039,1.00000
0.79040,1.00000
0.80040,1.00000
0.81041,1.00000
0.82041,1.00000
0.83042,1.00000
0.84042,1.00000
0.85043,1.00000
0.86043,1.00000
0.87044,1.00000
0.88044,1.00000
0.89045,1.00000
0.90045,1.00000
0.91046,1.00000
0.92046,1.00000
0.93047,1.00000
0.94047,1.00000
0.95048,1.00000
0.96048,1.00000
0.97049,1.00000
0.98049,0.99604
0.99050,0.99327
1.00050,0.99327
1.01051,0.99327
1.02051,0.99825
1.03052,1.00000
1.04052,1.00000
1.05053,1.00000
1.06053,1.00000
1.07054,1.00000
1.08054,1.00000
1.09055,1.00000
1.10055,1.00000
1.11056,1.00000
1.12056,1.00000
1.13057,1.00000
1.14057,1.00000
1.15058,1.00000
1.16058,1.00000
1.17059,1.00000
1.18059,1.00000
1.19060,1.00000
1.20060,1.00000
1.21061,1.00000
1.22061,1.00000
1.23062,1.00000
1.24062,1.00000
1.25063,1.00000
1.26063,1.00000
1.27064,1.00000
1.28064,1.00000
1.29065,1.00000
1.30065,1.00000
1.31066,1.00000
1.32066,1.00000
1.33067,1.00000
1.34067,1.00000
1.35068,1.00000
1.36068,1.00000
1.37069,1.00000
1.38069,1.00000
1.39070,1.00000
1.40070,1.00000
1.41071,1.00000
1.42071,1.00000
1.43072,1.00000
1.44072,1.00000
1.45073,1.00000
1.46073,1.00000
1.47074,1.00000
1.48074,1.00000
1.49075,1.00000
1.50075,1.00000
1.51076,1.00000
1.52076,1.00000
1.53077,1.00000
1.54077,1.00000
1.55078,1.00000
1.56078,1.00000
1.57079,1.00000
1.58079,1.00000
1.59080,1.00000
1.60080,1.00000
1.61081,1.00000
1.62081,1.00000
1.63082,1.00000
1.64082,1.00000
1.65083,1.00000
1.66083,1.00000
1.67084,1.00000
1.68084,1.00000
1.69085,1.00000
1.70085,1.00000
1.71086,1.00000
1.72086,1.00000
1.73087,1.00000
1.74087,1.00000
1.75088,1.00000
1.76088,1.00000
1.77089,1.00000
1.78089,1.00000
1.79090,1.00000
1.80090,1.00000
1.81091,1.00000
1.82091,1.00000
1.83092,1.00000
1.84092,1.00000
1.85093,1.00000
1.86093,1.00000
1.87094,1.00000
1.88094,1.00000
1.89095,1.00000
1.90095,1.00000
1.91096,1.00000
1.92096,1.00000
1.93097,1.00000
1.94097,1.00000
1.95098,1.00000
1.96098,1.00000
1.97099,1.00000
1.98099,1.00000
1.99100,1.00000
2.00100,1.00000
2.01101,1.00000
2.02101,1.00000
2.03102,1.00000
2.04102,1.00000
2.05103,1.00000
2.06103,1.00000
2.07104,1.00000
2.08104,1.00000
2.09105,1.00000
2.10105,1.00000
2.11106,1.00000
2.12106,1.00000
2.13107,1.00000
2.14107,1.00000
2.15108,1.00000
2.16108,1.00000
2.17109,1.00000
2.18109,1.00000
2.19110,1.00000
2.20110,1.00000
2.21111,1.00000
2.22111,1.00000
2.23112,1.00000
2.24112,1.00000
2.25113,1.00000
2.26113,1.00000
2.27114,1.00000
2.28114,1.00000
2.29115,1.00000
2.30115,1.00000
2.31116,1.00000
2.32116,1.00000
2.33117,1.00000
2.34117,1.00000
2.35118,1.00000
2.36118,1.00000
2.37119,1.00000
2.38119,1.00000
2.39120,1.00000
2.40120,1.00000
2.41121,1.00000
2.42121,1.00000
2.43122,1.00000
2.44122,1.00000
2.45123,1.00000
2.46123,1.00000
2.47124,1.00000
2.48124,1.00000
2.49125,1.00000
2.50125,1.00000
2.51126,1.00000
2.52126,1.00000
2.53127,1.00000
2.54127,1.00000
2.55128,1.00000
2.56128,1.00000
2.57129,1.00000
2.58129,1.00000
2.59130,1.00000
2.60130,1.00000
2.61131,1.00000
2.62131,1.00000
2.63132,1.00000
2.64132,1.00000
2.65133,1.00000
2.66133,1.00000
2.67134,1.00000
2.68134,1.00000
2.69135,1.00000
2.70135,1.00000
2.71136,1.00000
2.72136,1.00000
2.73137,1.00000
2.74137,1.00000
2.75138,1.00000
2.76138,1.00000
2.77139,1.00000
2.78139,1.00000
2.79140,1.00000
2.80140,1.00000
2.81141,1.00000
2.82141,1.00000
2.83142,1.00000
2.84142,1.00000
2.85143,1.00000
2.86143,1.00000
2.87144,1.00000
2.88144,1.00000
2.89145,1.00000
2.90145,1.00000
2.91146,1.00000
2.92146,1.00000
2.93147,1.00000
2.94147,1.00000
2.95148,1.00000
2.96148,1.00000
2.97149,1.00000
2.98149,1.00000
2.99150,1.00000
3.00150,1.00000
3.01151,1.00000
3.02151,1.00000
3.03152,1.00000
3.04152,1.00000
3.05153,1.00000
3.06153,1.00000
3.07154,1.00000
3.08154,1.00000
3.09155,1.00000
3.10155,1.00000
3.11156,1.00000
3.12156,1.00000
3.13157,1.00000
3.14157,1.00000
3.15158,1.00000
3.16158,1.00000
3.17159,1.00000
3.18159,1.00000
3.19160,1.00000
3.20160,1.00000
3.21161,1.00000
3.22161,1.00000
3.23162,1.00000
3.24162,1.00000
3.25163,1.00000
3.26163,1.00000
3.27164,1.00000
3.28164,1.00000
3.29165,1.00000
3.30165,1.00000
3.31166,1.00000
3.32166,1.00000
3.33167,1.00000
3.34167,1.00000
3.35168,1.00000
3.36168,1.00000
3.37169,1.00000
3.38169,1.00000
3.39170,1.00000
3.40170,1.00000
3.41171,1.00000
3.42171,1.00000
3.43172,1.00000
3.44172,1.00000
3.45173,1.00000
3.46173,1.00000
3.47174,1.00000
3.48174,1.00000
3.49175,1.00000
3.50175,1.00000
3.51176,1.00000
3.52176,1.00000
3.53177,1.00000
3.54177,1.00000
3.55178,1.00000
3.56178,1.00000
3.57179,1.00000
3.58179,1.00000
3.59180,1.00000
3.60180,1.00000
3.61181,1.00000
3.62181,1.00000
3.63182,1.00000
3.64182,1.00000
3.65183,1.00000
3.66183,1.00000
3.67184,1.00000
3.68184,1.00000
3.69185,1.00000
3.70185,1.00000
3.71186,1.00000
3.72186,1.00000
3.73187,1.00000
3.74187,1.00000
3.75188,1.00000
3.76188,1.00000
3.77189,1.00000
3.78189,1.00000
3.79190,1.00000
