t,flux
0.00000,0.99273
0.01005,1.00000
0.02010,1.00000
0.03015,1.00000
0.04020,1.00000
0.05025,1.00000
0.06030,1.00000
0.07035,1.00000
0.08040,1.00000
0.09045,1.00000
0.10050,1.00000
0.11055,1.00000
0.12060,1.00000
0.13065,1.00000
0.14070,1.00000
0.15075,1.00000
0.16080,1.00000
0.17085,1.00000
0.18090,1.00000
0.19095,1.00000
0.20101,1.00000
0.21106,1.00000
0.22111,1.00000
0.23116,1.00000
0.24121,1.00000
0.25126,1.00000
0.26131,1.00000
0.27136,1.00000
0.28141,1.00000
0.29146,1.00000
0.30151,1.00000
0.31156,1.00000
0.32161,1.00000
0.33166,1.00000
0.34171,1.00000
0.35176,1.00000
0.36181,1.00000
0.37186,1.00000
0.38191,1.00000
0.39196,1.00000
0.40201,1.00000
0.41206,1.00000
0.42211,1.00000
0.43216,1.00000
0.44221,1.00000
0.45226,1.00000
0.46231,1.00000
0.47236,1.00000
0.48241,1.00000
0.49246,1.00000
0.50251,1.00000
0.51256,1.00000
0.52261,1.00000
0.53266,1.00000
0.54271,1.00000
0.55276,1.00000
0.56281,1.00000
0.57286,1.00000
0.58291,1.00000
0.59296,1.00000
0.60302,1.00000
0.61307,1.00000
0.62312,1.00000
0.63317,1.00000
0.64322,1.00000
0.65327,1.00000
0.66332,1.00000
0.67337,1.00000
0.68342,1.00000
0.69347,1.00000
0.70352,1.00000
0.71357,1.00000
0.72362,1.00000
0.73367,1.00000
0.74372,1.00000
0.75377,1.00000
0.76382,1.00000
0.77387,1.00000
0.78392,1.00000
0.79397,1.00000
0.80402,1.00000
0.81407,1.00000
0.82412,1.00000
0.83417,1.00000
0.84422,1.00000
0.85427,1.00000
0.86432,1.00000
0.87437,1.00000
0.88442,1.00000
0.89447,1.00000
0.90452,1.00000
0.91457,1.00000
0.92462,1.00000
0.93467,1.00000
0.94472,1.00000
0.95477,1.00000
0.96482,1.00000
0.97487,1.00000
0.98492,0.99481
0.99497,0.99481
1.00503,0.99481
1.01508,0.99481
1.02513,1.00000
1.03518,1.00000
1.04523,1.00000
1.05528,1.00000
1.06533,1.00000
1.07538,1.00000
1.08543,1.00000
1.09548,1.00000
1.10553,1.00000
1.11558,1.00000
1.12563,1.00000
1.13568,1.00000
1.14573,1.00000
1.15578,1.00000
1.16583,1.00000
1.17588,1.00000
1.18593,1.00000
1.19598,1.00000
1.20603,1.00000
1.21608,1.00000
1.22613,1.00000
1.23618,1.00000
1.24623,1.00000
1.25628,1.00000
1.26633,1.00000
1.27638,1.00000
1.28643,1.00000
1.29648,1.00000
1.30653,1.00000
1.31658,1.00000
1.32663,1.00000
1.33668,1.00000
1.34673,1.00000
1.35678,1.00000
1.36683,1.00000
1.37688,1.00000
1.38693,1.00000
1.39698,1.00000
1.40704,1.00000
1.41709,1.00000
1.42714,1.00000
1.43719,1.00000
1.44724,1.00000
1.45729,1.00000
1.46734,1.00000
1.47739,1.00000
1.48744,1.00000
1.49749,1.00000
1.50754,1.00000
1.51759,1.00000
1.52764,1.00000
1.53769,1.00000
1.54774,1.00000
1.55779,1.00000
1.56784,1.00000
1.57789,1.00000
1.58794,1.00000
1.59799,1.00000
1.60804,1.00000
1.61809,1.00000
1.62814,1.00000
1.63819,1.00000
1.64824,1.00000
1.65829,1.00000
1.66834,1.00000
1.67839,1.00000
1.68844,1.00000
1.69849,1.00000
1.70854,1.00000
1.71859,1.00000
1.72864,1.00000
1.73869,1.00000
1.74874,1.00000
1.75879,1.00000
1.76884,1.00000
1.77889,1.00000
1.78894,1.00000
1.79899,1.00000
1.80905,1.00000
1.81910,1.00000
1.82915,1.00000
1.83920,1.00000
1.84925,1.00000
1.85930,1.00000
1.86935,1.00000
1.87940,1.00000
1.88945,1.00000
1.89950,1.00000
1.90955,1.00000
1.91960,1.00000
1.92965,1.00000
1.93970,1.00000
1.94975,1.00000
1.95980,1.00000
1.96985,1.00000
1.97990,1.00000
1.98995,1.00000
2.00000,1.00000
